t (s)	F (N)
0	0.5211461
0.02	1.096904255
0.04	1.854480775
0.06	2.763572599
0.08	4.218119516
0.1	5.975697042
0.12	7.339334778
0.14	8.460548027
0.16	8.521154149
0.18	8.248426602
0.2	7.79388069
0.22	7.157516413
0.24	6.460546015
0.26	5.945393982
0.28	5.854484799
0.3	5.551454191
0.32	5.248423583
0.34	5.12721134
0.36	5.036302158
0.38	5.187817462
0.4	5.066605219
0.42	5.096908279
0.44	5.066605219
0.46	5.096908279
0.48	5.066605219
0.5	5.12721134
0.52	5.005999097
0.54	5.066605219
0.56	4.945392975
0.58	4.884786854
0.6	4.884786854
0.62	4.824180732
0.64	4.824180732
0.66	4.854483793
0.68	4.824180732
0.7	4.824180732
0.72	4.763574611
0.74	4.642362368
0.76	4.642362368
0.78	4.642362368
0.8	4.702968489
0.82	4.763574611
0.84	4.612059307
0.86	4.612059307
0.88	4.612059307
0.9	4.612059307
0.92	4.642362368
0.94	4.551453185
0.96	4.612059307
0.98	4.521150124
1	4.521150124
1.02	4.490847064
1.04	4.490847064
1.06	4.490847064
1.08	4.460544003
1.1	4.581756246
1.12	4.521150124
1.14	4.521150124
1.16	4.460544003
1.18	4.490847064
1.2	4.430240942
1.22	4.460544003
1.24	4.490847064
1.26	4.460544003
1.28	4.430240942
1.3	4.460544003
1.32	4.430240942
1.34	4.460544003
1.36	4.430240942
1.38	4.460544003
1.4	4.399937881
1.42	4.399937881
1.44	4.430240942
1.46	4.460544003
1.48	4.460544003
1.5	4.490847064
1.52	4.460544003
1.54	4.460544003
1.56	4.490847064
1.58	4.460544003
1.6	4.399937881
1.62	4.399937881
1.64	4.309028699
1.66	4.309028699
1.68	4.33933176
1.7	4.309028699
1.72	4.36963482
1.74	4.36963482
1.76	4.36963482
1.78	4.36963482
1.8	4.399937881
1.82	4.399937881
1.84	4.430240942
1.86	4.399937881
1.88	4.399937881
1.9	2.43023893
1.92	0.91508589
1.94	0.339327735
1.96	0.218115492
1.98	0.248418553
2	0.157509371
2.02	0.218115492
